146,120,335.72,151.33,36.92,37.07,0.40,9,-1
147,120,334.91,149.44,37.57,37.77,0.31,9,-1
148,120,334.36,148.37,38.03,38.31,0.26,9,-1
149,120,334.52,148.57,37.45,37.79,0.28,9,-1
150,120,334.09,149.23,37.17,37.55,0.20,9,-1
151,120,333.25,149.82,37.15,37.68,0.14,9,-1
233,125,349.46,168.70,21.70,23.50,0.72,0,-1
234,125,338.79,167.55,31.89,34.72,0.73,0,-1
235,125,328.61,172.13,37.09,40.43,0.83,0,-1
236,125,323.60,181.37,34.84,37.75,0.83,0,-1
237,125,315.02,194.61,31.16,33.08,0.82,0,-1
238,125,309.62,205.50,27.30,28.05,0.84,0,-1
239,125,298.11,214.84,32.91,33.46,0.85,0,-1
240,125,289.52,220.32,37.05,37.53,0.86,0,-1
241,125,283.44,224.60,39.77,40.21,0.86,0,-1
242,125,276.13,228.63,42.30,43.07,0.87,0,-1
243,125,272.51,230.96,43.51,44.96,0.85,0,-1
244,125,270.85,232.36,42.99,45.07,0.86,0,-1
245,125,273.12,231.88,39.66,42.05,0.81,0,-1
246,125,277.17,230.35,28.36,29.52,0.81,0,-1
247,125,276.10,226.25,31.49,32.19,0.57,0,-1
248,125,267.35,223.11,43.78,43.85,0.75,0,-1
248,128,293.01,221.14,26.03,24.34,0.72,0,-1
249,125,259.32,217.35,58.11,57.36,0.66,0,-1
249,128,298.50,212.24,29.85,27.93,0.76,0,-1
250,125,261.91,211.89,58.43,55.11,0.84,0,-1
251,128,285.78,200.75,43.58,39.63,0.87,0,-1
252,128,284.31,195.89,47.97,42.34,0.84,0,-1
253,128,287.46,190.57,48.99,41.54,0.86,0,-1
254,128,289.47,188.01,50.16,40.73,0.88,0,-1
255,128,289.21,189.51,51.72,40.25,0.86,0,-1
256,128,286.89,197.42,53.04,39.69,0.86,0,-1
257,128,280.56,209.82,56.16,40.87,0.84,0,-1
258,128,273.67,218.29,62.00,44.39,0.83,0,-1
259,128,265.20,227.93,71.53,51.80,0.57,0,-1
260,128,264.42,233.18,71.15,52.37,0.70,0,-1
260,131,310.52,236.80,20.69,22.40,0.77,0,-1
261,128,262.01,240.41,70.60,53.11,0.28,0,-1
261,131,307.14,243.85,19.80,21.43,0.83,0,-1
262,128,259.34,246.94,70.18,54.14,0.24,0,-1
262,131,302.74,250.58,20.29,21.95,0.82,0,-1
263,128,259.43,250.75,69.24,55.33,0.27,0,-1
263,131,300.07,253.90,19.75,21.36,0.80,0,-1
264,128,255.98,252.42,66.99,54.83,0.12,0,-1
264,131,297.09,256.35,18.79,20.25,0.84,0,-1
265,128,254.43,253.30,65.42,54.89,0.20,0,-1
265,131,295.05,257.36,18.82,20.25,0.82,0,-1
266,131,292.69,258.91,18.25,19.60,0.81,0,-1
267,131,289.58,259.91,18.39,19.66,0.83,0,-1
268,131,287.27,261.61,18.67,19.88,0.84,0,-1
269,131,284.68,264.54,18.58,19.64,0.82,0,-1
270,131,283.18,266.36,18.67,19.60,0.80,0,-1
271,131,280.62,266.85,20.03,20.97,0.75,0,-1
272,131,277.47,268.52,20.34,21.29,0.79,0,-1
273,131,275.22,270.30,19.57,20.48,0.78,0,-1
274,131,273.93,271.18,19.18,20.06,0.79,0,-1
275,131,272.66,271.09,19.13,19.97,0.80,0,-1
276,131,271.10,271.35,18.69,19.48,0.81,0,-1
277,131,269.81,270.64,19.00,19.83,0.81,0,-1
278,131,269.33,270.26,19.28,20.12,0.81,0,-1
279,131,269.63,269.77,19.69,20.62,0.80,0,-1
280,131,270.69,270.38,18.90,19.70,0.79,0,-1
281,131,271.81,269.21,19.19,19.91,0.81,0,-1
282,131,274.08,266.70,19.81,20.54,0.81,0,-1
283,131,276.59,263.33,20.67,21.51,0.82,0,-1
284,131,280.67,257.11,21.79,22.76,0.82,0,-1
285,131,280.61,248.66,28.46,29.79,0.51,0,-1
286,131,289.47,241.12,26.22,27.61,0.78,0,-1
287,131,281.31,230.63,39.66,39.54,0.81,0,-1
288,131,276.70,221.68,52.26,50.22,0.83,0,-1
289,131,276.76,208.36,64.47,59.37,0.87,0,-1
