138,46,353.16,233.95,95.46,53.35,0.92,7,-1
139,46,352.49,228.91,98.94,55.38,0.92,7,-1
140,46,351.24,217.22,107.56,60.46,0.91,7,-1
141,46,354.18,207.08,111.03,62.86,0.93,7,-1
142,46,361.04,185.59,120.25,69.19,0.92,7,-1
143,46,369.57,166.30,124.77,73.38,0.92,7,-1
144,46,383.35,131.84,129.52,78.78,0.91,7,-1
145,46,396.09,102.58,130.57,82.57,0.92,7,-1
190,48,388.81,244.26,39.38,43.74,0.87,7,-1
191,48,393.03,230.38,39.03,43.07,0.87,7,-1
192,48,402.38,208.81,34.57,37.31,0.88,7,-1
193,48,409.39,189.10,34.79,36.66,0.89,7,-1
194,48,415.97,155.40,42.97,44.97,0.90,7,-1
195,48,426.75,118.07,48.82,51.24,0.90,7,-1
196,48,432.31,87.97,56.08,59.68,0.90,7,-1
197,48,440.74,53.23,60.53,65.68,0.85,7,-1
198,48,454.88,38.21,47.76,51.15,0.78,7,-1
265,52,374.07,145.88,30.45,28.37,0.51,13,-1
266,52,366.44,135.94,32.25,29.67,0.53,13,-1
267,52,373.64,127.84,34.88,31.93,0.65,13,-1
268,52,381.23,115.00,41.11,38.05,0.74,13,-1
269,52,385.87,104.89,46.91,44.05,0.83,13,-1
270,52,392.68,89.26,53.12,50.88,0.83,13,-1
271,52,399.37,72.82,57.79,56.65,0.83,13,-1
271,56,373.11,85.50,41.21,46.63,0.83,13,-1
272,52,404.44,63.16,58.19,58.43,0.81,13,-1
272,56,379.05,81.54,39.78,45.11,0.67,13,-1
273,52,411.04,55.80,57.53,59.23,0.79,13,-1
273,56,386.66,75.90,39.57,45.02,0.80,13,-1
274,52,416.56,51.89,55.50,58.76,0.82,13,-1
274,56,391.70,75.13,38.30,43.72,0.79,13,-1
275,52,424.70,48.03,52.62,57.43,0.55,13,-1
275,56,389.55,73.18,47.06,53.80,0.79,13,-1
276,56,397.14,71.10,47.15,53.90,0.80,13,-1
277,56,405.58,68.32,50.08,57.53,0.61,13,-1
277,52,411.98,47.49,65.51,71.96,0.80,13,-1
278,52,416.22,47.87,70.86,78.28,0.85,13,-1
279,56,425.97,75.89,48.02,55.43,0.88,13,-1
280,56,434.96,81.09,45.40,52.66,0.86,13,-1
281,56,442.90,82.72,45.35,52.55,0.84,13,-1
282,56,456.26,85.28,43.86,50.58,0.74,13,-1
283,57,462.45,90.31,45.00,46.39,0.54,2,-1
283,56,465.26,88.67,41.46,47.07,0.58,13,-1
286,57,487.56,98.12,43.08,44.06,0.67,2,-1
