18,390,288.53,371.34,69.00,65.45,0.62,6,-1
18,391,364.44,404.38,53.94,49.28,0.58,6,-1
36,393,285.91,210.01,32.65,35.48,0.56,14,-1
50,394,366.48,310.81,64.87,47.83,0.80,5,-1
51,397,373.66,284.44,105.32,54.02,0.82,9,-1
52,397,389.59,253.91,108.56,64.81,0.88,9,-1
53,397,406.91,232.51,106.44,71.83,0.88,9,-1
54,397,435.96,204.38,105.05,80.48,0.88,9,-1
55,397,470.10,176.81,96.85,84.39,0.91,9,-1
56,397,493.69,155.84,92.81,87.71,0.90,9,-1
57,397,517.34,134.41,88.64,89.59,0.89,9,-1
58,397,534.18,115.30,85.35,91.09,0.90,9,-1
59,397,543.23,102.73,83.19,90.97,0.90,9,-1
60,397,547.36,95.32,82.58,89.63,0.90,9,-1
61,397,551.69,88.84,80.52,86.94,0.90,9,-1
62,397,556.48,80.98,80.31,85.58,0.89,9,-1
63,397,558.13,75.70,81.83,83.02,0.84,9,-1
65,397,560.35,65.70,79.85,72.54,0.71,9,-1
66,397,562.66,63.48,74.40,62.11,0.70,9,-1
67,397,576.36,36.94,61.21,56.45,0.56,9,-1
68,397,600.39,13.23,39.79,43.47,0.45,9,-1
86,401,417.23,186.98,99.29,62.05,0.71,13,-1
87,401,445.27,180.81,88.61,64.10,0.76,13,-1
88,401,457.94,168.95,89.64,75.25,0.80,13,-1
89,401,450.54,170.82,50.05,80.11,0.82,13,-1
96,394,378.01,325.79,56.89,38.73,0.39,5,-1
97,394,369.56,321.55,50.86,38.44,0.33,5,-1
98,394,372.33,301.56,41.46,39.84,0.20,5,-1
103,411,474.20,151.62,58.57,91.77,0.79,13,-1
103,412,510.42,150.00,70.04,95.60,0.68,20,-1
104,411,496.85,133.78,63.28,93.72,0.82,13,-1
104,412,544.26,132.64,64.55,95.29,0.72,20,-1
105,411,515.23,120.17,69.88,91.86,0.84,13,-1
105,412,567.14,117.59,60.25,94.78,0.80,20,-1
106,411,526.38,114.06,69.02,87.84,0.84,13,-1
106,412,583.22,113.30,51.22,89.38,0.85,20,-1
107,411,535.45,114.08,74.89,83.82,0.63,13,-1
108,411,541.26,114.02,78.41,78.40,0.58,13,-1
109,411,547.93,110.85,88.90,74.30,0.45,13,-1
112,416,587.45,108.36,45.49,44.47,0.28,15,-1
116,416,561.07,104.62,48.33,37.46,0.41,15,-1
117,416,557.99,100.10,46.83,37.08,0.45,15,-1
118,416,526.51,79.07,66.48,52.13,0.22,15,-1
135,421,362.16,230.33,46.62,93.15,0.59,13,-1
136,421,360.71,230.37,47.31,94.21,0.72,13,-1
137,421,359.99,235.60,46.81,88.96,0.74,13,-1
138,421,357.93,233.58,49.76,88.03,0.49,13,-1
139,421,353.57,233.49,49.68,88.14,0.80,13,-1
140,421,348.44,234.15,48.26,84.68,0.34,13,-1
141,421,337.81,225.78,49.01,93.46,0.39,13,-1
142,421,331.10,227.66,48.66,89.89,0.44,13,-1
143,421,322.81,222.42,45.98,97.41,0.61,13,-1
144,421,315.27,225.80,44.51,94.92,0.52,13,-1
145,421,307.45,220.13,47.38,101.83,0.48,13,-1
146,421,304.22,220.97,46.23,102.96,0.67,13,-1
147,421,301.15,218.12,45.40,108.12,0.73,13,-1
148,421,296.93,214.96,45.68,111.32,0.75,13,-1
149,421,293.34,212.91,43.55,104.19,0.57,13,-1
150,421,285.99,206.22,45.93,103.60,0.23,13,-1
151,425,373.95,262.83,87.16,94.68,0.91,9,-1
151,421,275.38,197.23,49.51,98.65,0.37,13,-1
152,425,380.58,237.71,93.70,101.90,0.93,9,-1
152,421,268.79,179.85,49.45,76.98,0.66,13,-1
153,425,397.05,200.60,93.73,111.30,0.93,9,-1
154,425,414.42,165.73,91.63,114.57,0.92,9,-1
155,425,430.45,127.84,87.30,114.98,0.92,9,-1
156,425,444.57,97.88,79.45,114.69,0.91,9,-1
157,425,455.67,77.00,75.18,113.49,0.86,9,-1
158,425,474.37,57.32,59.40,107.80,0.83,9,-1
159,425,485.69,44.64,53.16,101.85,0.82,9,-1
160,425,491.84,26.05,52.27,100.18,0.78,9,-1
161,425,496.15,6.38,55.08,100.56,0.66,9,-1
162,425,509.12,9.74,54.09,80.07,0.70,9,-1
163,425,535.68,10.91,43.53,64.95,0.54,9,-1
